file_path,publishable,flesch_kincaid_grade_level,gunning_fog_index,dale_chall,smog_index,table_count,table_citation_presence,table_density,no_of_columns_per_page_of_table,citation_relevance,title_abstract_consistency,presence_of_opposite_number_of_sections,reference_count,figures_to_text_ratio,equation_density,technical_jargon_score,novelty_score,interdisciplinary_impact_score
/Users/sparshkarna/Desktop/DataScienceProject/papers/non-publishable/paper_313.pdf,0,9.2,8.5,7.07,11.9,5,True,0.45454545454545453,4.4,0.0,0.5672411248087883,3,33,0.0,0.012400561534861956,0.006215722120658135,0.4600808083017668,0.13632397369886678
/Users/sparshkarna/Desktop/DataScienceProject/papers/non-publishable/paper_307.pdf,0,11.2,9.73,7.58,13.1,2,True,0.14285714285714285,1.5,0.0,0.674285501241684,1,72,0.0006343165239454488,0.005708848715509039,0.012086827824370991,0.3595114074840447,0.31098316771791756
/Users/sparshkarna/Desktop/DataScienceProject/papers/non-publishable/paper_111.pdf,0,7.1,8.18,6.39,10.9,0,False,0.0,0,0.0,0.5493858233094215,2,42,0.0,0.010387534958050339,0.008071955719557196,0.47490017757023856,0.03399698687717319
/Users/sparshkarna/Desktop/DataScienceProject/papers/non-publishable/paper_15.pdf,0,11.1,10.9,8.15,12.8,4,False,0.6666666666666666,13.0,0.0,0.5731804817914963,4,12,0.0,0.020172910662824207,0.0037059913526868438,0.5416698299921476,0.13010385607609243
/Users/sparshkarna/Desktop/DataScienceProject/papers/non-publishable/paper_105.pdf,0,11.8,10.58,7.98,13.3,6,False,1.0,3.3333333333333335,0.0,0,4,0,0.0,0.00573175391669851,0.02086577390221115,0.6373507435310561,0.042373746493477076
/Users/sparshkarna/Desktop/DataScienceProject/papers/non-publishable/paper_29.pdf,0,9.4,9.05,6.57,11.7,4,False,0.10810810810810811,10.25,0.0,0.611347958445549,2,178,0.0,0.016146149181322015,0.010929577464788733,0.5121834904806954,0.06886030035884227
/Users/sparshkarna/Desktop/DataScienceProject/papers/non-publishable/paper_139.pdf,0,13.9,11.51,8.1,15.1,7,True,0.5384615384615384,4.285714285714286,0.0,0.7378213107585907,2,42,0.0,0.0,0.012341869793273681,0.4813713886470439,0.24955025930275665
/Users/sparshkarna/Desktop/DataScienceProject/papers/non-publishable/paper_267.pdf,0,10.1,9.28,7.38,12.5,7,True,0.4375,4.714285714285714,0.0,0.5096166469156742,3,33,0.0,0.005940307157345697,0.010968921389396709,0.5362369283157237,0.0680623921385745
/Users/sparshkarna/Desktop/DataScienceProject/papers/non-publishable/paper_273.pdf,0,9.1,9.08,6.74,11.9,0,False,0.0,0,0.0,0.700485348701477,3,93,0.001980945193849637,0.00905574945759834,0.01285454799496996,0.5119197823499378,0.20575045927012067
/Users/sparshkarna/Desktop/DataScienceProject/papers/non-publishable/paper_298.pdf,0,9.3,9.67,7.18,12.2,0,False,0.0,0,0.0,0.7434808313846588,3,15,0.00044829647340107593,0.005977286312014346,0.01841903300076746,0.3918706531110017,0.061677610082283146
/Users/sparshkarna/Desktop/DataScienceProject/papers/non-publishable/paper_299.pdf,0,10.5,9.11,6.53,12.4,3,True,0.0967741935483871,6.0,0.0,0.7682621479034424,2,64,0.0,0.006449914439910491,0.007019381875327396,0.471254056553508,0.05678794541045262
